"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8870","TC05 - Edit task successfully","chromium","Wed Mar 18 20:57:36 UTC 2026","passed","Wed Mar 18 20:57:45 UTC 2026","Task Management","ui/today.spec.ts","",""
"","6856","should be able to create a task correctly","chromium","Wed Mar 18 20:57:23 UTC 2026","passed","Wed Mar 18 20:57:30 UTC 2026","Task Management","ui/today.spec.ts","",""
"","0","TC03 - Create task successfully from sidebar","chromium","Wed Mar 18 20:57:07 UTC 2026","skipped","Wed Mar 18 20:57:07 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","1658","should be able to create a task via API correctly for today","chromium","Wed Mar 18 20:56:56 UTC 2026","passed","Wed Mar 18 20:56:57 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","8445","should be able to delete a comment from a task","chromium","Wed Mar 18 20:57:14 UTC 2026","passed","Wed Mar 18 20:57:23 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","6438","TC04 - Delete task successfully","chromium","Wed Mar 18 20:57:30 UTC 2026","passed","Wed Mar 18 20:57:36 UTC 2026","Task Management","ui/today.spec.ts","",""
"","7602","should be able to login correctly","chromium","Wed Mar 18 20:56:58 UTC 2026","passed","Wed Mar 18 20:57:05 UTC 2026","Login tests","ui/login.spec.ts","",""
"","1768","should display the correct error message for invalid credentials","chromium","Wed Mar 18 20:57:05 UTC 2026","passed","Wed Mar 18 20:57:07 UTC 2026","Login tests","ui/login.spec.ts","",""
"","4693","Should dismiss add task modal","chromium","Wed Mar 18 20:57:45 UTC 2026","passed","Wed Mar 18 20:57:50 UTC 2026","Page Functionality","ui/today.spec.ts","",""
"","7318","should be able to add a comment to a task","chromium","Wed Mar 18 20:57:07 UTC 2026","passed","Wed Mar 18 20:57:14 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
